127.0.0.1 - - [09/Jan/2022:16:38:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:38:57 +0530] "GET /CaseStudy1/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:38:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:39:19 +0530] "GET /CaseStudy1/Reg.jsp HTTP/1.1" 200 3451
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:39:19 +0530] "GET /CaseStudy1/img/img5.jpg HTTP/1.1" 200 10294
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:39:48 +0530] "POST /CaseStudy1/Register1 HTTP/1.1" 500 1131
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:58:28 +0530] "GET /CaseStudy1/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:58:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:58:40 +0530] "GET /CaseStudy1/Reg.jsp HTTP/1.1" 200 3451
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:58:40 +0530] "GET /CaseStudy1/img/img5.jpg HTTP/1.1" 200 10294
0:0:0:0:0:0:0:1 - - [09/Jan/2022:16:58:54 +0530] "POST /CaseStudy1/Register1 HTTP/1.1" 500 1131
0:0:0:0:0:0:0:1 - - [09/Jan/2022:17:04:47 +0530] "GET /CaseStudy1/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [09/Jan/2022:17:04:57 +0530] "GET /CaseStudy1/Reg.jsp HTTP/1.1" 404 737
